"codcli","Cliente","codven","Comercial","Cidade","status","Vendas","Frequencia","Ult_Compra"
"60009","Cliente_60009","32","Euclides","FORTALEZA - CE - Brasil","*","782255.00","65","2025-02-22"
"182583","Cliente_182583","35","Geilson","JABOATAO DOS GUARARAPES - PE - Brasil","*","547467.86","70","2025-02-15"
"181700","Cliente_181700","35","Geilson","RECIFE - PE - Brasil","*","481501.08","81","2025-02-12"
"28320","Cliente_28320","26","Carlos Augusto","SAO JOSE DA LAJE - AL - Brasil","*","429229.40","140","2025-02-18"
"16428","Cliente_16428","19","Evandro","RECIFE - PE - Brasil","P","307769.15","370","2025-02-28"
"28370","Cliente_28370","35","Geilson","BAYEUX - PB - Brasil","*","301842.67","38","2025-02-28"
"168640","Cliente_168640","32","Euclides","CAMPINA GRANDE - PB - Brasil","*","296699.00","218","2025-02-28"
"36623","Cliente_36623","38","Junior","MACHADOS - PE - Brasil","*","295736.82","151","2025-02-28"
"188980","Cliente_188980","23","Valter","ABREU E LIMA - PE - Brasil","*","285847.95","158","2025-02-28"
"151750","Cliente_151750","32","Euclides","BELEM - PA - Brasil","*","272343.00","47","2025-02-22"
"160465","Cliente_160465","8","Jonas","CAMPINA GRANDE - PB - Brasil","A","234190.25","57","2025-02-28"
"20880","Cliente_20880","35","Geilson","SAO LUIS DO QUITUNDE - AL - Brasil","*","223843.25","67","2025-02-28"
"160360","Cliente_160360","23","Valter","BAYEUX - PB - Brasil","*","190745.40","43","2025-02-28"
"189600","Cliente_189600","26","Carlos Augusto","SIRINHAEM - PE - Brasil","*","185997.92","119","2025-02-28"
"3091","Cliente_3091","21","Edilson","CABO DE SANTO AGOSTINHO - PE - Brasil","P","184412.38","119","2025-02-28"
"60136","Cliente_60136","32","Euclides","FORTALEZA - CE - Brasil","*","178629.00","117","2025-02-26"
"20027","Cliente_20027","35","Geilson","MACEIO - AL - Brasil","*","173078.12","102","2025-02-28"
"167940","Cliente_167940","23","Valter","JOAO PESSOA - PB - Brasil","*","169852.91","106","2025-02-28"
"16200","Cliente_16200","8","Jonas","RECIFE - PE - Brasil","*","169608.00","196","2025-02-28"
"60246","Cliente_60246","32","Euclides","FORTALEZA - CE - Brasil","P","151610.00","165","2025-02-28"
"21763","Cliente_21763","23","Valter","MACEIO - AL - Brasil","*","150156.00","35","2025-02-28"
"34829","Cliente_34829","35","Geilson","JABOATAO DOS GUARARAPES - PE - Brasil","*","144925.60","72","2025-02-28"
"189581","Cliente_189581","23","Valter","IGARASSU - PE - Brasil","*","144534.80","57","2025-02-24"
"31513","Cliente_31513","26","Carlos Augusto","CARUARU - PE - Brasil","*","137594.00","49","2025-02-28"
"1478","Cliente_1478","48","Flavio","RECIFE - PE - Brasil","*","135212.60","150","2025-02-28"
"160482","Cliente_160482","23","Valter","PEDRAS DE FOGO - PB - Brasil","*","129706.33","37","2025-02-10"
"1885","Cliente_1885","41","Edson","IPOJUCA - PE - Brasil","E","126064.00","54","2025-02-28"
"35685","Cliente_35685","34","Denny","CABO DE SANTO AGOSTINHO - PE - Brasil","E","122667.00","28","2025-02-15"
"60367","Cliente_60367","32","Euclides","MARACANAU - CE - Brasil","*","119667.00","52","2025-02-23"
"187565","Cliente_187565","35","Geilson","GARANHUNS - PE - Brasil","*","115976.81","96","2025-02-24"
"33115","Cliente_33115","21","Edilson","RECIFE - PE - Brasil","E","113934.00","20","2025-02-12"
"186225","Cliente_186225","35","Geilson","OLINDA - PE - Brasil","*","111683.81","89","2025-02-28"
"38873","Cliente_38873","48","Flavio","JABOATAO DOS GUARARAPES - PE - Brasil","A","110119.00","47","2025-02-19"
"44632","Cliente_44632","48","Flavio","JABOATAO DOS GUARARAPES - PE - Brasil","*","108149.00","114","2025-02-28"
"42843","Cliente_42843","35","Geilson","BATALHA - AL - Brasil","P","106913.69","18","2024-12-20"
"20721","Cliente_20721","21","Edilson","RECIFE - PE - Brasil","A","106411.00","68","2025-02-28"
"22209","Cliente_22209","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","*","105864.50","133","2025-02-28"
"185505","Cliente_185505","26","Carlos Augusto","PETROLANDIA - PE - Brasil","*","100875.22","57","2025-02-24"
"60053","Cliente_60053","32","Euclides","FORTALEZA - CE - Brasil","*","98150.00","67","2025-02-25"
"19293","Cliente_19293","16","Adelmo","RECIFE - PE - Brasil","E","94677.96","83","2025-02-28"
"36904","Cliente_36904","8","Jonas","RECIFE - PE - Brasil","P","94210.00","247","2025-02-28"
