Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch
670772142,4,2019-4,Australia,If you've ever been to Disneyland anywhere you'll find Disneyland Hong Kong very similar in the layout when you walk into main street! It has a very familiar feel. One of the rides  its a Small World  is absolutely fabulous and worth doing. The day we visited was fairly hot and relatively busy but the queues moved fairly well. ,Disneyland_HongKong
261623721,4,2014-9,Hong Kong,The place is smaller than the U.S. ones. Older children would get bored quickly here. The environment is quite nice and green for Hk. Overall not a bad day,Disneyland_HongKong
134966120,3,2012-7,Australia,"HK Disneyland itself is quite compact, and fairly easy to access via MTR. However, often it could get overcrowded with extremely long waits for rides (quite painful in hot summer days). There's not much shade on offer so be prepared with sunscreen lotion, or join the hordes of people walking around with umbrellas under the scorching summer sun.",Disneyland_HongKong
134959638,3,2012-7,United States,"After reading the reviews, my expectations were pretty low, so maybe that helped!I just got back from visiting today, it was friggen hot as all hell, humid as could be, and smoggy as Hong Kong has become, but there was a breeze, so that was nice...Anyway, I went alone (what a loser am I) and with the single rider lines for Space Mountain and the Runaway Mine Cars in Grizzly Gulch or whatever it's called, I actually felt like a VIP. I never waited for more than a few minutes and usually ended up with a little kid or a mom whose husband had the kid in their car, or with some other third wheel from the standby lines. I also seen some people  pretending  to be single riders (they were holding hands until the employees running the ride were around, then played it  cool ) so I think you could beat the system that way if you want. I also seen a parade and all the Disney characters...and I think that Disney does a pretty good job with their princess selection...man, they all looked just like the ones in LA! I think they all could do a good job of making my dreams come true someday! haha!And since I was just at Disneyland Anaheim this year too, I can say that HK doesn't match up, but it was a fun way to spend most of my day rather than wander around and see the same old crap in Kowloon the day before I head into China... I took the train from Tsim Sha Tsui (red line) to Lai King and xferred to the orange line to Sunny Bay, then to the Disney line, and it was a pretty easy trip, maybe 40 minutes...I had a good time, probably won't go back, but I can cross it off the list. Next visit to HK, I'll try Ocean Park and see how that one rates...hopefully it'll be cooler the next time I come over here!",Disneyland_HongKong
134955517,3,2011-8,Thailand,My family and I went during the summers and we could not enjoy because of the intense heat. Disney land looked really nice and fun but we were unable to go around enough. What we enjoyed was the small world ride! It was a truly wonderful experience :) For anyone who wants a good experience i recommend not to go during the hot season!!,Disneyland_HongKong
134790020,5,missing,United States,"I decided to surprise my family with a 2 night stay at this magnificent property after an adoption trip to China. We had 2 beautifully spacious appointed oceanfront rooms close to the main lobby. The view of garden maze with the ocean in the background was worth the room category upgrade. Front desk staff amazing! I've been to the parks in Paris, Orlando and California. This stay ranks at the top!",Disneyland_HongKong
134774520,5,2011-9,Malaysia,"We went there last year. My kids really enjoy being here. We spent a day here but i think it's not enough for us to enjoy disneyland in one day. May be we will come again another time. My kids really excited to meet all their idols, mickey, minnie, donald and daisy. It was really unforgettable vacation.",Disneyland_HongKong
134722783,4,2012-4,United Kingdom,Of course kids loved it (and I did too!). It is smaller than Magic Kingdom in Florida but has its own charms. It gets four stars only because I was dissappointed by the size of the castle. All the staff is very friendly and definetely go out of their way to make people feel in a fantasy world. There is lots of people but we never felt crowded and we were always able to see the parade (with minimum wait) from good viewpoints. The food is typical of this kind of places so average. In comparison to Disneyland Paris this one gets my ultimate vote (especially for the friendliness of the staff).,Disneyland_HongKong
134721630,4,2012-7,Vietnam,"We were there on Monday from the moment the park opened (10am) and almost till firework (9pm). It was so hot and the queues were so long despite the fact that it was Monday. There are new attractions (Storybook part of the park) which was not there when we visited 2 years ago and frankly, these new attractions are not as good as the old ones. Strangely enough, at least 2 3 of the visitors are adults or teens. We only left before the firework when it was pouring rain and we were terrified of the prospect of carting exhausted children thru the train home in the rush after the firework. Certainly, we will be back.",Disneyland_HongKong
134706519,4,2012-5,Hong Kong,"It has a lot to live up too, it has attractions but is rather on the small side. Go mid week to avoid the crowds. Standard Disney Prices",Disneyland_HongKong
134699325,1,missing,United States,"It is small with significantly fewer rides than Disneyland CA, Disneyworld, or Eurodisney. Other than the food you would have no idea that you are in HK. even the t shirts are boring: put on Mickey and then add  Hong Kong . Space mountain was here is a line, wait, here is the ride. That is it. Nothing to entertain while in line. Sterile. The Lion King show was the best part of the visit.Save your money and skip it.",Disneyland_HongKong
134588307,5,2012-5,Philippines,"Went there last May with my wife and kids, and my siblings, my parents, my mom in law, and my nephew and nieces, and the kids just can't get enough of it.Unlike the Ocean Park where the rides can be extreme, the rides here at the Disneyland are more children oriented and safe. Of course adults can try the rides too like what I did and the best I think was the Space Mountain.You can also watch the parade of Disney characters and your pictures taken with them. Before you leave, you can enjoy the fireworks display by the castle.You have to be quick though because right after the fireworks display, people will race towards the train station to get a ride home. : )",Disneyland_HongKong
134506158,3,2012-7,United Kingdom,"Compact and easy to negotiate. Well laid out but signage could have been better. Food was not bad value   in fact had the best char siew pork and rice on the trip, in comet cafe in Tomorrow Land. Good rides   space mountain, autopia, toy land rides. But the queuing was the killer. On average of 60 mins for each ride! We got there late so not a great day in that respect. Everyone recommended that we should get there early, as soon as the park opens   probably good advice, which we probably should have taken! Top tip 1   take lots of water, though there were water fountains where you can top up. Top tip 2.   do not buy a two day pass. You can probably do most, if not all rides in one (exhausting) day. Top Tip 3   do the Lion King Show   great 30 min summary of the West End show. Saved a few bucks there...Mystery never solved  the difference between a Standard Day Pass and Designated Day Pass !Would I do it again? Probably not but ticked the box for my seven year old !",Disneyland_HongKong
134500673,4,2012-7,United States,"went there with my wife and we just had a great time , we had not been to other disney parks ,so were looking forward to it ! felt like kids again..............it requires a whole day to see most of it ! also the weather can be a bit warm and humid (so check the weather forecast )... ! The highlights were the fireworks in the evening ! the shows and rides were good too ! All in all it was good experience..",Disneyland_HongKong
134339638,5,2012-7,New Zealand,"This was our first visit to any Disneyland and we were pretty impressed. We spent 2 days exploring rides and shows and meeting all number of characters. We loved the Lion KIng show and the parade as well as the Mickey's Phillarmagic 4D show complete with smells and splashing water. It was hot in July though so bring face washers flannels for wetting and wiping to cool off and lots of money for cold water to drink. The food prices weren't too bad considering it was a theme park but it was not a cheap 2 days. We did find the crowds overwhelming and many people had no consideration for others. We arrived on the MTR in the afternoon and were swamped by a crowd trying to get on the train before we could get off. We had to scream and shout to get our way though. My husband told everyone they should be ashamed of themselves and then the crowd parted to let us through. We had many other experiences of queue jumping and jostling thrughout our time despite constant reminders from staff to respect others. I couldn't believe a grown man tried to push my daughter (5) out of the way to get on the teacup ride. I put him in his place pretty quickly. To avoid crowds, go to the attractions at the far ends of the park early in the morning. Besides the crowds it was an amazing experience for us and the kids (5 and 3). Oh, we got more time with the princesses too because we speak english. Everyone else just got a photo but we got conversations even my son loved that!",Disneyland_HongKong
134332726,1,2012-7,Hong Kong,Loads of Mainlanders  try to avoid this if you can  Never go there during weekends  an expensive place  No discounts ever offers  smallest in the world,Disneyland_HongKong
134332008,4,2011-8,United States,"We went in 2009 (2009 was no longer in the drop down)... I was a bit surprised to see a lot of bad reviews. I've been to Universal Orlando, Universal Singapore and Disney World in Florida, but I was not dismayed with HK Disneyland. Admittedly, it is tiny, but we had fun all the same. I am not sure if we were just lucky, but when we went the queues were not that long, and I was not witness to unsanitary behavior conditions. We did not come with exceedingly high expectations (knowing what rides were in HK and what weren't; and also knowing it would be small in comparison) so maybe that is why I was not disappointed.I cannot speak for how it is now (or maybe even how it is usually), but when we went we had a pleasant experience and our family had fun.",Disneyland_HongKong
134324048,3,2012-6,United Arab Emirates,It was not huge as we were expecting but is not so bad. Have to wait in line at least 20min for 1 attraction and the park is closing too early (8pm) with Fireworks as last attraction.,Disneyland_HongKong
